source_id,entity_type,record_id,municipality,event_date,category,data
winnipeg_permits,permit,25-261161 SP,winnipeg,2026-04-15,new_construction,"{""lat"": ""49.86948"", ""lng"": ""-97.15765"", ""work"": ""Erect"", ""status"": ""Closed"", ""address"": ""847 CORYDON AVE"", ""province"": ""MB"", ""community"": ""City Centre"", ""issued_date"": ""2026-04-15"", ""permit_type"": ""Sign"", ""neighborhood"": ""Mcmillan"", ""permit_group"": ""Non-Residential"", ""permit_number"": ""25-261161 SP"", ""applicant_name"": """", ""completed_date"": ""2026-04-16"", ""structure_type"": ""Projecting Sign"", ""contractor_name"": null, ""application_date"": ""2025-11-19"", ""status_canonical"": ""completed"", ""normalized_address"": ""847 CORYDON AVENUE"", ""dwelling_units_lost"": ""0"", ""permit_type_canonical"": ""new_construction"", ""dwelling_units_created"": ""0"", ""normalized_business_name"": """", ""contractor_name_normalized"": null}"
montreal_permits,permit,3001919865,montreal,2026-04-22,other,"{""lat"": ""45.46612"", ""lng"": ""-73.56489"", ""work"": ""EXT, en cours, arrière, abattage d'un érable à giguère, arbre est malade et a une déficience structurale."", ""status"": ""Issued"", ""address"": ""50  RUE TROY"", ""province"": ""QC"", ""current_use"": ""Familiale"", ""issued_date"": ""2026-04-22"", ""permit_type"": ""Abattage Arbre"", ""neighborhood"": ""Verdun"", ""permit_number"": ""3001919865"", ""structure_type"": ""Habitation"", ""application_date"": ""2026-04-10"", ""permit_type_code"": ""CA"", ""status_canonical"": ""issued"", ""application_number"": ""3003650249"", ""normalized_address"": ""50 RUE TROY"", ""permit_type_canonical"": ""other"", ""dwelling_units_created"": 0, ""normalized_business_name"": """"}"
new_westminster_permits,permit,BP015334,new_westminster,2026-04-27,renovation,"{""value"": 20000, ""status"": ""ACTIVE"", ""address"": ""206-12 LAGUNA CRT"", ""province"": ""BC"", ""contractor"": ""RENNOV AREA"", ""issued_date"": ""2026-04-27"", ""permit_type"": ""ALTERATION"", ""permit_number"": ""BP015334"", ""geocode_failed"": true, ""contractor_name"": ""RENNOV AREA"", ""status_canonical"": ""issued"", ""normalized_address"": ""12 LAGUNA CRT"", ""permit_type_canonical"": ""renovation"", ""normalized_business_name"": """", ""contractor_name_normalized"": ""rennov area""}"
calgary_permits,permit,BP2026-02571,calgary,2026-03-03,new_construction,"{""work"": ""New"", ""status"": ""Pre Backfill Phase"", ""address"": ""44 RODELLE TC NW"", ""area_m2"": 141.31, ""province"": ""AB"", ""current_use"": ""Residential"", ""description"": ""SFD,BSMT-DEV,PORCH,"", ""issued_date"": ""2026-03-03"", ""permit_type"": ""Single Construction Permit"", ""builder_name"": ""MORRISON HOMES (CALGARY)"", ""neighbourhood"": ""Haskayne"", ""permit_number"": ""BP2026-02571"", ""applicant_name"": ""MORRISON HOMES (CALGARY)"", ""completed_date"": null, ""geocode_failed"": true, ""structure_type"": ""1106 - Single Family House"", ""contractor_name"": ""MORRISON HOMES (CALGARY)"", ""application_date"": ""2026-02-20"", ""status_canonical"": ""unknown"", ""construction_value"": 246790.07, ""normalized_address"": ""44 RODELLE TC NORTHWEST"", ""permit_type_canonical"": ""new_construction"", ""dwelling_units_created"": ""1"", ""normalized_business_name"": ""MORRISON HOMES"", ""contractor_name_normalized"": ""morrison homes calgary""}"
longueuil_permits,permit,2026-01908,longueuil,2026-04-16,new_construction,"{""lat"": ""45.48933"", ""lng"": ""-73.45422"", ""status"": ""Complété"", ""address"": ""676 RUE MASSENA"", ""province"": ""QC"", ""description"": ""Remplacement d'une ouverture en façade arrière d'une habitation unifamiliale isolée, impliquant modifications des dimensions de l'ouverture existante."", ""issued_date"": ""2026-04-16"", ""permit_type"": ""Permis construction"", ""permit_number"": ""2026-01908"", ""status_canonical"": ""completed"", ""construction_value"": 1000.0, ""normalized_address"": ""676 RUE MASSENA"", ""permit_type_canonical"": ""new_construction"", ""normalized_business_name"": """"}"
toronto_permits,permit,26 133318 PLB:00,toronto,2026-05-19,renovation,"{""lat"": ""43.6693"", ""lng"": ""-79.44165"", ""ward"": ""S0927"", ""work"": ""Building Permit Related(PS)"", ""status"": ""Permit Issued"", ""address"": ""300 GEARY AVE"", ""dataset"": ""active"", ""province"": ""ON"", ""revision"": ""00"", ""current_use"": ""Empty Shell"", ""description"": ""Plumbing  - Proposal for barber shop"", ""issued_date"": ""2026-05-19"", ""permit_type"": ""Plumbing(PS)"", ""postal_code"": ""M6H"", ""builder_name"": ""None"", ""proposed_use"": ""Barber Shop"", ""permit_number"": ""26 133318 PLB"", ""completed_date"": null, ""structure_type"": ""Hair, Barber and Other Salon"", ""contractor_name"": ""None"", ""application_date"": ""2026-03-23"", ""status_canonical"": ""issued"", ""construction_value"": null, ""normalized_address"": ""300 GEARY AVENUE"", ""dwelling_units_lost"": null, ""floor_area_commercial"": 0, ""floor_area_industrial"": 0, ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": null, ""floor_area_residential"": 0, ""floor_area_institutional"": 0, ""normalized_business_name"": ""NONE"", ""contractor_name_normalized"": null}"
winnipeg_permits,permit,25-275601 HO,winnipeg,2026-03-19,new_construction,"{""work"": ""Construct New"", ""status"": ""Issued"", ""address"": ""32 LYNX ST"", ""province"": ""MB"", ""community"": ""Lord Selkirk-West Kildonan"", ""issued_date"": ""2026-03-19"", ""permit_type"": ""Housing"", ""permit_group"": ""Residential"", ""neighbourhood"": ""West Kildonan Industrial"", ""permit_number"": ""25-275601 HO"", ""applicant_name"": ""STREETSIDE DEVELOPMENT CORPORATION"", ""completed_date"": null, ""geocode_failed"": true, ""structure_type"": ""Row Housing"", ""contractor_name"": ""STREETSIDE DEVELOPMENT CORPORATION"", ""application_date"": ""2025-12-22"", ""status_canonical"": ""issued"", ""normalized_address"": ""32 LYNX STREET"", ""dwelling_units_lost"": ""0"", ""permit_type_canonical"": ""new_construction"", ""dwelling_units_created"": ""0"", ""normalized_business_name"": """", ""contractor_name_normalized"": ""streetside development""}"
edmonton_permits,permit,1-653791099,edmonton,2026-04-30,renovation,"{""lat"": ""53.5142"", ""lng"": ""-113.56688"", ""work"": """", ""status"": ""Issued"", ""address"": ""7907 - 143 STREET NW"", ""area_m2"": null, ""province"": ""AB"", ""description"": ""To install a Renewable Energy Device On a House (Addition of 10 Solar PhotoVoltaic (PV) Panel(s) on the Roof) to the previously approved 16 panels.  Total of 26 Solar PhotoVoltaic (PV) Panel(s) and on an Accessory Building, Garage (4 Solar PhotoVoltaic (PV) Panel(s) on the Roof)."", ""issued_date"": ""2026-04-30"", ""permit_type"": ""Home Improvement"", ""neighborhood"": ""Laurier Heights"", ""permit_number"": ""1-653791099"", ""structure_type"": ""Single Detached House (110)"", ""status_canonical"": ""issued"", ""construction_value"": null, ""normalized_address"": ""7907 143 STREET NORTHWEST"", ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": null, ""normalized_business_name"": """"}"
medicine_hat_permits,permit,PRBD202600396,medicine_hat,2026-02-26,renovation,"{""work"": ""Alteration and improvements"", ""address"": ""3307 DUNMORE RD SE, Unit:1, Medicine Hat, AB T1B3R2"", ""province"": ""AB"", ""work_type"": ""03"", ""description"": ""COMMERCIAL INTERIOR RENOVATIONS: BARRIER FREE WASHROOM "", ""expiry_date"": ""2027-02-26"", ""issued_date"": ""2026-02-26"", ""permit_type"": ""BD"", ""building_use"": ""COM"", ""entered_date"": ""2026-02-19"", ""permit_number"": ""PRBD202600396"", ""status_canonical"": ""unknown"", ""construction_value"": 15000, ""normalized_address"": ""3307 DUNMORE ROAD SOUTHEAST"", ""permit_type_canonical"": ""renovation"", ""normalized_business_name"": """"}"
kingston_permits,permit,D30-0162-2026,kingston,2026-02-25,other,"{""work"": ""Deck"", ""status"": ""Permit Issued"", ""address"": ""265 WILLINGDON AVE"", ""province"": ""ON"", ""description"": ""New deck with covered walkway between house and garage"", ""issued_date"": ""2026-02-25"", ""permit_type"": ""Single Detached Dwelling"", ""permit_number"": ""D30-0162-2026"", ""completed_date"": null, ""geocode_failed"": true, ""application_date"": ""2026-02-11"", ""status_canonical"": ""issued"", ""construction_value"": 20000.0, ""normalized_address"": ""265 WILLINGDON AVENUE"", ""permit_type_canonical"": ""addition"", ""normalized_business_name"": """"}"
toronto_permits,permit,26 121599 PLB:00,toronto,2026-03-06,renovation,"{""lat"": ""43.75642"", ""lng"": ""-79.30909"", ""ward"": ""E2126"", ""work"": ""Building Permit Related(PS)"", ""status"": ""Permit Issued"", ""address"": ""156 MARCHINGTON CRCL"", ""dataset"": ""active"", ""province"": ""ON"", ""revision"": ""00"", ""current_use"": ""Sfd-Detached"", ""description"": ""Plumbing - Proposed interior alteration for the removal of walls on main floor."", ""issued_date"": ""2026-03-06"", ""permit_type"": ""Plumbing(PS)"", ""postal_code"": ""M1R"", ""builder_name"": ""None"", ""proposed_use"": ""Sfd-Detached"", ""permit_number"": ""26 121599 PLB"", ""completed_date"": null, ""structure_type"": ""SFD - Detached"", ""contractor_name"": ""None"", ""application_date"": ""2026-02-26"", ""status_canonical"": ""issued"", ""construction_value"": null, ""normalized_address"": ""156 MARCHINGTON CRCL"", ""dwelling_units_lost"": null, ""floor_area_commercial"": 0, ""floor_area_industrial"": 0, ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": null, ""floor_area_residential"": 0, ""floor_area_institutional"": 0, ""normalized_business_name"": ""NONE"", ""contractor_name_normalized"": null}"
toronto_permits,permit,26 109165 PLB:00,toronto,2026-03-16,renovation,"{""lat"": ""43.64619"", ""lng"": ""-79.38257"", ""ward"": ""S1034"", ""work"": ""Building Permit Related(PS)"", ""status"": ""Permit Issued"", ""address"": ""55 YORK ST"", ""dataset"": ""active"", ""province"": ""ON"", ""revision"": ""00"", ""current_use"": ""Office"", ""description"": ""Plumbing  - Proposal for interior alterations to suit new layout in suite 1000."", ""issued_date"": ""2026-03-16"", ""permit_type"": ""Plumbing(PS)"", ""postal_code"": ""M5J"", ""builder_name"": ""None"", ""proposed_use"": ""Office"", ""permit_number"": ""26 109165 PLB"", ""completed_date"": null, ""structure_type"": ""Office"", ""contractor_name"": ""None"", ""application_date"": ""2026-01-26"", ""status_canonical"": ""issued"", ""construction_value"": null, ""normalized_address"": ""55 YORK STREET"", ""dwelling_units_lost"": null, ""floor_area_commercial"": 0, ""floor_area_industrial"": 0, ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": null, ""floor_area_residential"": 0, ""floor_area_institutional"": 0, ""normalized_business_name"": ""NONE"", ""contractor_name_normalized"": null}"
sudbury_permits,permit,BP-NEW-2025-01738,sudbury,2026-03-03,other,"{""lat"": ""46.49149"", ""lng"": ""-80.99323"", ""work"": ""Building Permit"", ""status"": ""Complete"", ""address"": ""96 LARCH STREET, SUDBURY, ONTARIO P3E 1C1"", ""storeys"": 4, ""land_use"": ""Office - Business"", ""province"": ""ON"", ""description"": ""Int Alt - Fire Alarm System"", ""issued_date"": ""2026-03-03"", ""permit_type"": ""Commercial"", ""permit_number"": ""BP-NEW-2025-01738"", ""application_date"": ""2025-11-08"", ""status_canonical"": ""completed"", ""construction_value"": 49000.0, ""normalized_address"": ""96 LARCH STREET"", ""permit_type_canonical"": ""other"", ""dwelling_units_created"": 0, ""normalized_business_name"": """"}"
surrey_permits,permit,25-113180-000-00,surrey,20260413,addition,"{""lat"": ""49.10972"", ""lng"": ""-122.72951"", ""work"": ""New"", ""status"": ""Issued"", ""address"": ""17799 59 AVE"", ""province"": ""BC"", ""description"": ""Garden Suite"", ""issued_date"": ""20260413"", ""permit_type"": ""New Coach House/Garden Suite"", ""permit_number"": ""25-113180-000-00"", ""status_canonical"": ""issued"", ""construction_value"": 200000.0, ""normalized_address"": ""17799 59 AVENUE"", ""permit_type_canonical"": ""addition"", ""dwelling_units_created"": 1, ""normalized_business_name"": """"}"
sudbury_permits,permit,BP-NEW-2026-00139,sudbury,2026-03-20,other,"{""work"": ""Building Permit"", ""status"": ""Full Permit Issued"", ""address"": ""2600 HIGHWAY 69 N, VAL CARON, ON P3N1K4"", ""storeys"": 1, ""land_use"": ""Single Family Dwelling"", ""province"": ""ON"", ""description"": ""ADU in basement of existing SFD"", ""issued_date"": ""2026-03-20"", ""permit_type"": ""Residential"", ""permit_number"": ""BP-NEW-2026-00139"", ""geocode_failed"": true, ""application_date"": ""2026-02-22"", ""status_canonical"": ""issued"", ""construction_value"": 142000.0, ""normalized_address"": ""2600 HIGHWAY 69 NORTH"", ""permit_type_canonical"": ""other"", ""dwelling_units_created"": 1, ""normalized_business_name"": """"}"
cambridge_permits,permit,26107160,cambridge,2026-04-28,new_construction,"{""work"": ""New Construction"", ""status"": ""Issued"", ""address"": ""61 STEPHANIE ST"", ""area_m2"": null, ""storeys"": null, ""province"": ""ON"", ""contractor"": ""ACTIVA CONSTRUCTION INC"", ""description"": ""Permit is for a new Lily Traditional single detached dwelling with an attached garage."", ""issued_date"": ""2026-04-28"", ""permit_type"": ""Residential Building Permit"", ""permit_number"": ""26107160"", ""completed_date"": null, ""geocode_failed"": true, ""contractor_name"": ""ACTIVA CONSTRUCTION INC"", ""application_date"": ""2026-03-25"", ""status_canonical"": ""issued"", ""construction_value"": 540000.0, ""normalized_address"": ""61 STEPHANIE STREET"", ""dwelling_units_lost"": null, ""permit_type_canonical"": ""new_construction"", ""dwelling_units_created"": ""1"", ""normalized_business_name"": """", ""contractor_name_normalized"": ""activa construction""}"
lethbridge_permits,permit,BP034465,lethbridge,2026-04-24,renovation,"{""work"": ""ALTERATIONS/IMPROVEMENTS"", ""status"": ""COMPLETED"", ""address"": ""1-79 AQUITANIA CIR W"", ""area_m2"": 32.7, ""province"": ""AB"", ""issued_date"": ""2026-04-24"", ""permit_type"": ""BUILDING - HOMEOWNER"", ""neighbourhood"": ""The Crossings"", ""permit_number"": ""BP034465"", ""completed_date"": ""2026-04-28"", ""geocode_failed"": true, ""application_date"": ""2026-04-23"", ""status_canonical"": ""completed"", ""construction_value"": 24724.48, ""normalized_address"": ""79 AQUITANIA CIRCLE WEST"", ""dwelling_units_lost"": null, ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": null, ""normalized_business_name"": """"}"
montreal_permits,permit,3001913369,montreal,2026-03-25,other,"{""lat"": ""45.48005"", ""lng"": ""-73.55513"", ""work"": ""Remplacer le revêtement de toit existant, par un système multicouches avec couche de marbre blanc. Sur une superficie de 800pi.ca, par la compagnie René Perron Couvreurs. Aucun travaux de structures"", ""status"": ""Issued"", ""address"": ""461  RUE BOURGEOYS"", ""province"": ""QC"", ""current_use"": ""1 Logement"", ""issued_date"": ""2026-03-25"", ""permit_type"": ""Travaux extérieurs"", ""neighbourhood"": ""Le Sud-Ouest"", ""permit_number"": ""3001913369"", ""structure_type"": ""Résidentiel"", ""application_date"": ""2026-03-20"", ""permit_type_code"": ""TR"", ""status_canonical"": ""issued"", ""application_number"": ""3003645956"", ""normalized_address"": ""461 RUE BOURGEOYS"", ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": 0, ""normalized_business_name"": """"}"
mississauga_permits,permit,BP 3ALT 26-945,mississauga,2026-03-26,renovation,"{""lat"": 43.63687803, ""lng"": -79.67504761, ""ward"": ""5"", ""work"": ""REVISION TO BP 3ALT 26-294 - MAINTAIN AN EXIST.RM  UPGRADE WATER SUPPLY  (1) NEW SANITARY LINE"", ""status"": ""ISSUED PERMIT"", ""zoning"": ""43w"", ""address"": ""6175 KENWAY DR"", ""area_m2"": null, ""storeys"": null, ""province"": ""ON"", ""file_type"": ""INDUSTRIAL"", ""demolition"": true, ""issued_date"": ""2026-03-26"", ""permit_type"": ""OTHER"", ""postal_code"": ""L5T 2L3"", ""building_type"": ""SINGLE TENANT INDUSTRIAL"", ""permit_number"": ""BP 3ALT 26-945"", ""completed_date"": null, ""dwelling_units"": null, ""application_date"": ""2026-03-18"", ""status_canonical"": ""issued"", ""construction_value"": 65260.0, ""normalized_address"": ""6175 KENWAY DRIVE"", ""permit_type_canonical"": ""renovation"", ""normalized_business_name"": """"}"
maple_ridge_permits,permit,26-008471,maple_ridge,2026-05-07,renovation,"{""work"": ""Plumbing Permit"", ""status"": ""Issued"", ""address"": ""11464 FISHER ST"", ""province"": ""BC"", ""contractor"": ""AVATAR PLUMBING AND HEATING"", ""description"": ""Townhouse"", ""issued_date"": ""2026-05-07"", ""permit_type"": ""PG"", ""neighbourhood"": ""Town Centre"", ""permit_number"": ""26-008471"", ""contractor_name"": ""AVATAR PLUMBING AND HEATING"", ""application_date"": ""2026-05-07"", ""status_canonical"": ""issued"", ""construction_value"": null, ""normalized_address"": ""11464 FISHER STREET"", ""permit_type_canonical"": ""renovation"", ""normalized_business_name"": """", ""contractor_name_normalized"": ""avatar plumbing and heating""}"
calgary_permits,permit,BP2026-03698,calgary,2026-04-17,new_construction,"{""work"": ""New"", ""status"": ""Pre Board Phase"", ""address"": ""54 ROSEMARY GD SE"", ""area_m2"": 167.6, ""province"": ""AB"", ""current_use"": ""Residential"", ""description"": ""SFD,GARAGE,DECK,PORCH,"", ""issued_date"": ""2026-04-17"", ""permit_type"": ""Single Construction Permit"", ""builder_name"": ""BAYWEST HOMES"", ""neighborhood"": ""Rangeview"", ""permit_number"": ""BP2026-03698"", ""applicant_name"": ""BAYWEST HOMES"", ""completed_date"": null, ""geocode_failed"": true, ""structure_type"": ""1106 - Single Family House"", ""contractor_name"": ""BAYWEST HOMES"", ""application_date"": ""2026-03-11"", ""status_canonical"": ""in_review"", ""construction_value"": 293104.97, ""normalized_address"": ""54 ROSEMARY GD SOUTHEAST"", ""permit_type_canonical"": ""new_construction"", ""dwelling_units_created"": ""1"", ""normalized_business_name"": ""BAYWEST HOMES"", ""contractor_name_normalized"": ""baywest homes""}"
toronto_permits,permit,26 120213 BLD:00,toronto,2026-03-11,renovation,"{""lat"": ""43.68705"", ""lng"": ""-79.44342"", ""ward"": ""S1222"", ""work"": ""Multiple Projects"", ""status"": ""Permit Issued"", ""address"": ""416 LAUDER AVE"", ""dataset"": ""active"", ""province"": ""ON"", ""revision"": ""00"", ""current_use"": ""195.24"", ""description"": ""Proposal to construct front + rear additions, carry out interior alterations and basement underpinning."", ""issued_date"": ""2026-03-11"", ""permit_type"": ""Small Residential Projects"", ""postal_code"": ""M6E"", ""builder_name"": ""None"", ""proposed_use"": ""Sfd - Semi Detached"", ""permit_number"": ""26 120213 BLD"", ""completed_date"": null, ""structure_type"": ""SFD - Semi-Detached"", ""contractor_name"": ""None"", ""application_date"": ""2026-02-23"", ""status_canonical"": ""issued"", ""construction_value"": 600000.0, ""normalized_address"": ""416 LAUDER AVENUE"", ""dwelling_units_lost"": ""0"", ""floor_area_commercial"": 0, ""floor_area_industrial"": 0, ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": ""0"", ""floor_area_residential"": 97.06, ""floor_area_institutional"": 0, ""normalized_business_name"": ""NONE"", ""contractor_name_normalized"": null}"
